TITULO,FECHA,URL
"Precio del dólar hoy en Perú: Consulta el tipo de cambio y su cotización este 1 de julio, según el BCRP",01/07/2023 13H50,https://elcomercio.pe/economia/mercados/precio-del-dolar-hoy-en-peru-tipo-de-cambio-este-sabado-1-de-julio-segun-el-bcrp-sunat-ocona-sbs-soles-a-dolares-tdex-noticia/
"Dólar Today y Monitor Dólar hoy, 1 de julio: Revise el precio y cotización del dólar en Venezuela",01/07/2023 15H01,https://elcomercio.pe/economia/mercados/dolar-today-y-monitor-dolar-hoy-sabado-1-de-julio-precio-y-cotizacion-del-dolar-en-venezuela-dolar-bcv-dolar-bitcoin-tdex-ultimas-noticia/
¿Qué pasó con el dólar esta semana?,18/03/2023 08H00,https://elcomercio.pe/economia/mercados/que-paso-con-el-dolar-esta-semana-tdx-tipo-de-cambioo-dolar-en-el-peru-dolar-peru-noticia/
¿Qué pasó con el dólar esta semana?,18/03/2023 08H00,https://elcomercio.pe/economia/mercados/que-paso-con-el-dolar-esta-semana-tdx-tipo-de-cambioo-dolar-en-el-peru-dolar-peru-noticia/
"Dólar en Perú hoy, 19 de febrero: Consulta el tipo de cambio y cotización en compra y venta",19/02/2023 14H41,https://elcomercio.pe/economia/mercados/dolar-en-peru-hoy-domingo-19-de-febrero-revisa-el-tipo-de-cambio-y-cotizacion-sbs-bscr-tdex-noticia/
"Dólar en Perú hoy, 19 de febrero: Consulta el tipo de cambio y cotización en compra y venta",19/02/2023 14H41,https://elcomercio.pe/economia/mercados/dolar-en-peru-hoy-domingo-19-de-febrero-revisa-el-tipo-de-cambio-y-cotizacion-sbs-bscr-tdex-noticia/
"Dólar en Perú hoy, sábado 18 de febrero: Consulta AQUÍ el tipo de cambio y cotización",18/02/2023 09H07,https://elcomercio.pe/economia/mercados/dolar-hoy-en-peru-a-cuanto-se-cotiza-el-tipo-de-cambio-este-sabado-18-de-febrero-sbs-bcr-tdex-noticia/
"Dólar en Perú hoy, sábado 18 de febrero: Consulta AQUÍ el tipo de cambio y cotización",18/02/2023 09H07,https://elcomercio.pe/economia/mercados/dolar-hoy-en-peru-a-cuanto-se-cotiza-el-tipo-de-cambio-este-sabado-18-de-febrero-sbs-bcr-tdex-noticia/
Dólar hoy en Perú: ¿A cuánto cerró el tipo de cambio el viernes 17 de febrero?,17/02/2023 20H33,https://elcomercio.pe/economia/mercados/dolar-en-peru-y-tipo-de-cambio-para-hoy-viernes-17-de-febrero-2023-compra-y-venta-dolares-a-soles-de-hoy-bcr-banco-central-de-reserva-noticia/
Dólar hoy en Perú: ¿A cuánto cerró el tipo de cambio el viernes 17 de febrero?,17/02/2023 20H33,https://elcomercio.pe/economia/mercados/dolar-en-peru-y-tipo-de-cambio-para-hoy-viernes-17-de-febrero-2023-compra-y-venta-dolares-a-soles-de-hoy-bcr-banco-central-de-reserva-noticia/
¿Qué sucedió con el dólar durante la semana?,12/02/2023 08H39,https://elcomercio.pe/economia/mercados/que-sucedio-con-el-dolar-durante-la-semana-ftx-dolar-precio-del-dolar-noticia/
¿Qué sucedió con el dólar durante la semana?,12/02/2023 08H39,https://elcomercio.pe/economia/mercados/que-sucedio-con-el-dolar-durante-la-semana-ftx-dolar-precio-del-dolar-noticia/
"Dólar en Perú: tipo de cambio para hoy domingo, 25 de diciembre del 2022",25/12/2022 17H30,https://elcomercio.pe/economia/mercados/precio-del-dolar-en-peru-tipo-de-cambio-hoy-domingo-25-de-diciembre-compra-y-venta-de-dolares-a-soles-bcr-banco-central-de-reserva-cuanto-cuesta-el-dolar-hoy-en-peru-noticia/
"Dólar en Perú: tipo de cambio para hoy domingo, 25 de diciembre del 2022",25/12/2022 17H30,https://elcomercio.pe/economia/mercados/precio-del-dolar-en-peru-tipo-de-cambio-hoy-domingo-25-de-diciembre-compra-y-venta-de-dolares-a-soles-bcr-banco-central-de-reserva-cuanto-cuesta-el-dolar-hoy-en-peru-noticia/
Precio del dólar en Perú: tipo de cambio hoy sábado 24 de diciembre,24/12/2022 10H56,https://elcomercio.pe/economia/mercados/precio-del-dolar-en-peru-y-tipo-de-cambio-hoy-sabado-24-de-diciembre-del-2022-compra-y-venta-de-dolares-a-soles-bcr-banco-central-de-reserva-cuanto-cuesta-el-dolar-hoy-en-peru-noticia/
Precio del dólar en Perú: tipo de cambio hoy sábado 24 de diciembre,24/12/2022 10H56,https://elcomercio.pe/economia/mercados/precio-del-dolar-en-peru-y-tipo-de-cambio-hoy-sabado-24-de-diciembre-del-2022-compra-y-venta-de-dolares-a-soles-bcr-banco-central-de-reserva-cuanto-cuesta-el-dolar-hoy-en-peru-noticia/
"Precio del dólar en Perú: El tipo de cambio cerró a la baja hoy, viernes 23 de diciembre",23/12/2022 16H32,https://elcomercio.pe/economia/mercados/precio-del-dolar-en-peru-y-tipo-de-cambio-hoy-viernes-23-de-diciembre-2022-compra-y-venta-de-dolares-a-soles-bcr-banco-central-de-reserva-cuanto-cuesta-el-dolar-hoy-en-peru-noticia/
"Precio del dólar en Perú: El tipo de cambio cerró a la baja hoy, viernes 23 de diciembre",23/12/2022 16H32,https://elcomercio.pe/economia/mercados/precio-del-dolar-en-peru-y-tipo-de-cambio-hoy-viernes-23-de-diciembre-2022-compra-y-venta-de-dolares-a-soles-bcr-banco-central-de-reserva-cuanto-cuesta-el-dolar-hoy-en-peru-noticia/
"Dólar en Perú: El tipo de cambio cerró al alza hoy, jueves 22 de diciembre",22/12/2022 16H39,https://elcomercio.pe/economia/mercados/dolar-en-peru-precio-y-tipo-de-cambio-hoy-jueves-22-de-diciembre-compra-y-venta-de-dolares-a-soles-bcr-banco-central-de-reserva-cuanto-cuesta-el-dolar-hoy-en-peru-noticia/
